occurrence_no,reference_no,ref_author,ref_pubyr,paper_title,paper_authors,paper_publication_year,author_institutions,paper_abstract,enrichment_sources,best_match_score
899914,63423,Molnar 1991,1991,Fossil reptiles in Australia,R. E. Molnar,1991,,,pbdb_ref,0.608
899992,34458,Fletcher and Salisbury 2010,2010,"New pterosaur fossils from the Early Cretaceous (Albian) of Queensland, Australia",T. L. Fletcher; S. W. Salisbury,2010,University of Queensland,"ABSTRACT Pterosaur fossils from Australia are rare. All the specimens that have been described previously are Cretaceous in age, with the majority deriving from the Aptian–Albian shallow marine succession within the Eromanga Basin of western Queensland. The Queensland specimens have tentatively been referred to the pterodactyloid clades Pteranodontidae, Ornithocheiridae, and Archaeopterodactyloidea (cf. Ctenochasmatoidea), each in varying taxonomic guises. Due to their fragmentary nature, more specific referrals of these specimens have not been possible. As such, the overall composition and more precise relationships of Australia's Cretaceous pterosaur fauna have remained enigmatic. Since 1987, a number of new pterosaur specimens have been found in the shallow marine late Albian rocks of the Eromanga Basin of western Queensland. Four of these specimens are described herein: a partial mandible, a metacarpal IV, a wing phalanx, and a humerus. The mandible is assigned to Ornithocheiridae, gen. et sp. indet., whereas the metacarpal and wing phalanx are assigned Ornithocheiridae cf. Anhanguera. The morphology of the humerus suggests that it may belong to a ctenochasmatoid lophocratian. Based on these findings, we hypothesize that Australia's Early Cretaceous pterosaur fauna comprises a mix of taxa already known to occur in Europe and South America in addition to a slightly younger ctenochasmatoid. However, the older specimens may alternatively represent new taxa that combine cranial characteristics of an Ornithocheirus-like taxon or a closely related form, with an Anhanguera-like postcranium. A more precise characterization of Australia's Cretaceous pterosaur fauna cannot be resolved until more complete specimens are found.",pbdb_ref;openalex,1.000
900009,34458,Fletcher and Salisbury 2010,2010,"New pterosaur fossils from the Early Cretaceous (Albian) of Queensland, Australia",T. L. Fletcher; S. W. Salisbury,2010,University of Queensland,"ABSTRACT Pterosaur fossils from Australia are rare. All the specimens that have been described previously are Cretaceous in age, with the majority deriving from the Aptian–Albian shallow marine succession within the Eromanga Basin of western Queensland. The Queensland specimens have tentatively been referred to the pterodactyloid clades Pteranodontidae, Ornithocheiridae, and Archaeopterodactyloidea (cf. Ctenochasmatoidea), each in varying taxonomic guises. Due to their fragmentary nature, more specific referrals of these specimens have not been possible. As such, the overall composition and more precise relationships of Australia's Cretaceous pterosaur fauna have remained enigmatic. Since 1987, a number of new pterosaur specimens have been found in the shallow marine late Albian rocks of the Eromanga Basin of western Queensland. Four of these specimens are described herein: a partial mandible, a metacarpal IV, a wing phalanx, and a humerus. The mandible is assigned to Ornithocheiridae, gen. et sp. indet., whereas the metacarpal and wing phalanx are assigned Ornithocheiridae cf. Anhanguera. The morphology of the humerus suggests that it may belong to a ctenochasmatoid lophocratian. Based on these findings, we hypothesize that Australia's Early Cretaceous pterosaur fauna comprises a mix of taxa already known to occur in Europe and South America in addition to a slightly younger ctenochasmatoid. However, the older specimens may alternatively represent new taxa that combine cranial characteristics of an Ornithocheirus-like taxon or a closely related form, with an Anhanguera-like postcranium. A more precise characterization of Australia's Cretaceous pterosaur fauna cannot be resolved until more complete specimens are found.",pbdb_ref;openalex,1.000
900014,34458,Fletcher and Salisbury 2010,2010,"New pterosaur fossils from the Early Cretaceous (Albian) of Queensland, Australia",T. L. Fletcher; S. W. Salisbury,2010,University of Queensland,"ABSTRACT Pterosaur fossils from Australia are rare. All the specimens that have been described previously are Cretaceous in age, with the majority deriving from the Aptian–Albian shallow marine succession within the Eromanga Basin of western Queensland. The Queensland specimens have tentatively been referred to the pterodactyloid clades Pteranodontidae, Ornithocheiridae, and Archaeopterodactyloidea (cf. Ctenochasmatoidea), each in varying taxonomic guises. Due to their fragmentary nature, more specific referrals of these specimens have not been possible. As such, the overall composition and more precise relationships of Australia's Cretaceous pterosaur fauna have remained enigmatic. Since 1987, a number of new pterosaur specimens have been found in the shallow marine late Albian rocks of the Eromanga Basin of western Queensland. Four of these specimens are described herein: a partial mandible, a metacarpal IV, a wing phalanx, and a humerus. The mandible is assigned to Ornithocheiridae, gen. et sp. indet., whereas the metacarpal and wing phalanx are assigned Ornithocheiridae cf. Anhanguera. The morphology of the humerus suggests that it may belong to a ctenochasmatoid lophocratian. Based on these findings, we hypothesize that Australia's Early Cretaceous pterosaur fauna comprises a mix of taxa already known to occur in Europe and South America in addition to a slightly younger ctenochasmatoid. However, the older specimens may alternatively represent new taxa that combine cranial characteristics of an Ornithocheirus-like taxon or a closely related form, with an Anhanguera-like postcranium. A more precise characterization of Australia's Cretaceous pterosaur fauna cannot be resolved until more complete specimens are found.",pbdb_ref;openalex,1.000
902703,16868,Archbold 1983,1983,Permian marine invertebrate provinces of the Gondwana Realm,N. W. Archbold,1983,,,pbdb_ref;crossref,0.993
904615,28382,Armstrong 1968,1968,"The martiniacean species occurring at Glendon, New South Wales, the type locality of Notospirifer darwini (Morris)",J. Armstrong,1968,,,pbdb_ref,0.875
904640,28382,Armstrong 1968,1968,"The martiniacean species occurring at Glendon, New South Wales, the type locality of Notospirifer darwini (Morris)",J. Armstrong,1968,,,pbdb_ref,0.875
904672,27376,Armstrong 1970,1970,Syringothyrid brachiopods from the Permian of eastern Australia,J. Armstrong,1970,,,pbdb_ref;crossref,0.666
904673,27376,Armstrong 1970,1970,Syringothyrid brachiopods from the Permian of eastern Australia,J. Armstrong,1970,,,pbdb_ref;crossref,0.666
904762,27368,Waterhouse 1987,1987,"Late Palaeozoic Brachiopoda (Athyrida, Spiriferida and Terebratulida) from the southeast Bowen Basin, east Australia",J. B. Waterhouse,1987,,,pbdb_ref,0.515
904763,27376,Armstrong 1970,1970,Syringothyrid brachiopods from the Permian of eastern Australia,J. Armstrong,1970,,,pbdb_ref;crossref,0.666
904764,27376,Armstrong 1970,1970,Syringothyrid brachiopods from the Permian of eastern Australia,J. Armstrong,1970,,,pbdb_ref;crossref,0.666
904773,27373,Armstrong 1970,1970,Queensland Permian species of the spiriferid brachiopods Punctospirifer and Cleiothyridina,J. Armstrong,1970,,(Uploaded by Plazi from the Biodiversity Heritage Library) No abstract provided.,pbdb_ref;openalex,1.000
904777,27374,Campbell 1960,1960,The brachiopod genera Ingelarella and Notospirifer in the Permian of Queensland,K.S.W. Campbell,1960,,The genera Ingelarella and Notospirifer are widespread throughout the Permian of eastern Australia. Previously described species now assigned to these genera are examined. Eight new species are described from the Springsure shelf and the northern end of the Bowen basin.,pbdb_ref;openalex,1.000
909915,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
909916,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
909917,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
909921,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
910340,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
911268,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
911271,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
911272,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
911273,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
911274,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
911275,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
911276,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
911277,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
911278,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
911285,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
911286,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
911287,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
911288,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
912108,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912168,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912172,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912174,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912175,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912176,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912184,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912646,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912647,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912648,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912649,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912650,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912654,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912663,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912664,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912665,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912666,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912667,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912668,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912669,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912670,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912671,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912672,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912673,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912674,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912675,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912676,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912677,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912678,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912679,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912680,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912681,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912682,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912683,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912684,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912685,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912686,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912695,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912994,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912995,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912996,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912997,34894,Parfrey 1985,1985,Reports on Permian faunas,S. M. Parfrey,1985,,,pbdb_ref,0.540
912998,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
912999,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913000,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913001,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913002,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913003,34894,Parfrey 1985,1985,Reports on Permian faunas,S. M. Parfrey,1985,,,pbdb_ref,0.540
913004,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913443,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913444,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913445,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913446,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913447,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913448,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913449,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913450,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913451,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913770,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
913782,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
913783,39464,Dear 1971,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,J. F. Dear,1971,,,pbdb_ref,0.390
914780,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
914781,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
914782,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
914783,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
914784,26717,Maxwell 1954,1954,Strophalosia in the Permian of Queensland,W.G.H. Maxwell,1954,,"Describes productid brachiopods of the genus Strophalosia, including new species and varieties, from the Permian of Queensland, noting their significance for correlation due to widespread geographic distribution and restricted stratigraphic range.",pbdb_ref;openalex,1.000
915040,35014,Salisbury 2003,2003,"Theropod teeth from the Lower Cretaceous (Albian-Cenomanian) Winton Formation, Central-Western Queensland, Australia",S. W. Salisbury,2003,,"Different novel coordination polymers containing zinc, 1-4, and copper, 5-8, metals, connected via chiral imidazolium-based dicarboxylate ligands, [L<sup>R</sup>]<sup>-</sup>, were isolated by reaction between zinc acetate or copper acetate and enantiomerically pure HL<sup>R</sup> compounds. They were characterised and structurally identified by X-ray diffraction methods (single crystal and powder). These compounds are two-dimensional homochiral coordination polymers, [M(L<sup>R</sup>)<sub>2</sub>]<sub>n</sub>, in which the metal ions are coordinated by the two carboxylate groups of [L<sup>R</sup>]<sup>-</sup> anions in a general bridging monodentate μ<sup>2</sup>-κ<sup>1</sup>-O<sup>1</sup>,κ<sup>1</sup>-O<sup>3</sup> fashion that afforded tetrahedral metal coordination environments for zinc, 1-4, and square planar for copper, 5-8, complexes. In all the compounds the 3D supramolecular architecture is constructed by non-covalent interactions between the hydrophobic parts (R groups) of the homochiral 2D coordination polymers and, in some cases, by weak C-HO non-classical hydrogen bonds that provided, in general, a dense crystal packing. DFT calculations on the [L<sup>R</sup>]<sup>-</sup> anions confirmed their conformational flexibility as ditopic linkers and this fact makes possible the formation of different coordination polymers for four-coordinated metal centers. Preliminary studies on the Zn-catalyzed synthesis of chiral α-aminophosphonates were carried out and, unfortunately, no enantioselectivity was observed in these reactions.",pbdb_ref;openalex,0.976
915358,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915359,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915530,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915531,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915562,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915563,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915564,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915755,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915756,35115,Waterhouse and Jell 1983,1983,"The sequence of Permian rocks and faunas near Exmoor Homestead south of Collinsville, north Bowen Basin",J. B. Waterhouse; J. S. Jell,1983,,,pbdb_ref,0.466
915757,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915758,35115,Waterhouse and Jell 1983,1983,"The sequence of Permian rocks and faunas near Exmoor Homestead south of Collinsville, north Bowen Basin",J. B. Waterhouse; J. S. Jell,1983,,,pbdb_ref,0.466
915759,35115,Waterhouse and Jell 1983,1983,"The sequence of Permian rocks and faunas near Exmoor Homestead south of Collinsville, north Bowen Basin",J. B. Waterhouse; J. S. Jell,1983,,,pbdb_ref,0.466
915760,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915761,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915762,35115,Waterhouse and Jell 1983,1983,"The sequence of Permian rocks and faunas near Exmoor Homestead south of Collinsville, north Bowen Basin",J. B. Waterhouse; J. S. Jell,1983,,,pbdb_ref,0.466
915763,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915764,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915765,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915766,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915767,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
915768,27370,Briggs 1998,1998,Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance,D. J. C. Briggs,1998,,,pbdb_ref,0.503
