"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&cc=AUS&lngmin=142&lngmax=148.5&latmin=-18.6&latmax=-23.9&pgm=gplates,scotese,seton&pgs=early,mid,late&show=full,genus,subgenus,strat,lith,env,resgroup"
"Access Time","Sun 2026-03-22 01:34:47 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","lngmin","142"
"","lngmax","148.5"
"","latmin","-18.6"
"","latmax","-23.9"
"","pgm","gplates,scotese,seton"
"","pgs","early,mid,late"
"","cc","AUS"
"","timerule","major"
"","taxon_status","all"
"","show","full,genus,subgenus,strat,lith,env,resgroup"
"Elapsed Time","0.116"
"Records Found","2068"
"Records Returned","2068"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","container_no","collection_aka","cc","state","county","latlng_basis","latlng_precision","altitude_value","altitude_unit","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleoage_b","paleolng_b","paleolat_b","paleoage_c","paleolng_c","paleolat_c","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleoage2_b","paleolng2_b","paleolat2_b","paleoage2_c","paleolng2_c","paleolat2_c","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","paleoage3_b","paleolng3_b","paleolat3_b","paleoage3_c","paleolng3_c","paleolat3_c","cc","protected","direct_ma_value","direct_ma_error","direct_ma_unit","direct_ma_method","max_ma_value","max_ma_error","max_ma_unit","max_ma_method","min_ma_value","min_ma_error","min_ma_unit","min_ma_method","formation","geological_group","member","stratscale","zone","zone_type","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","size_classes","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","research_group","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","genus","formation","geological_group","member","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","research_group"
"412315","occ","","","39874","Mesodouvillina (Protocymostrophia) cf. dickinsi","subgenus","315254","rank change, species not entered","Cymostrophia (Protocymostrophia)","","subgenus","27829","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Strophomenata","Strophomenida","Douvillinidae","Cymostrophia (Protocymostrophia)","","","","147.166672","-20.850000","","B84F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8474 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Cymostrophia (Protocymostrophia)","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412316","occ","","","39874","Nadiastrophia patmorei","genus","27672","species not entered","Nadiastrophia","","genus","27672","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Strophomenata","Strophomenida","Douvillinidae","Nadiastrophia","","","","147.166672","-20.850000","","B84F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8474 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Nadiastrophia","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412317","occ","","","39874","? Protochonetes sp.","genus","27828","","Protochonetes","","genus","27828","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Strophomenata","Productida","Strophochonetidae","Protochonetes","","","","147.166672","-20.850000","","B84F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8474 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","low-level epifaunal","blind","suspension feeder","","","BODY SIZE: Data from Williams et al. (2006).","","","","minor ribbing","Protochonetes","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412318","occ","","","39874","Atryparia penelopeae","genus","29780","species not entered","Atryparia","","genus","29780","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Rhynchonellata","Atrypida","Atrypidae","Atryparia","","","","147.166672","-20.850000","","B84F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8474 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Atryparia","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412319","occ","","","39874","Variatrypa (Variatrypa) erectirostris","genus","29970","species not entered","Variatrypa","","genus","29970","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Rhynchonellata","Atrypida","Atrypidae","Variatrypa","","","","147.166672","-20.850000","","B84F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8474 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Variatrypa","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412320","occ","","","39874","Carinatina lowtherensis","genus","29800","species not entered","Carinatina","","genus","29800","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Rhynchonellata","Atrypida","Carinatinidae","Carinatina","","","","147.166672","-20.850000","","B84F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8474 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Carinatina","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412321","occ","","","39874","? Quadrithyrina sp.","genus","29584","","Quadrithyrina","","genus","29584","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Rhynchonellata","Spiriferida","Xenomartiniidae","Quadrithyrina","","","","147.166672","-20.850000","","B84F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8474 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Quadrithyrina","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412322","occ","","","39874","Elythina sp.","genus","29261","misspelling of, species not entered","Elythyna","","genus","94944","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Rhynchonellata","Spiriferida","Elythynidae","Elythyna","","","","147.166672","-20.850000","","B84F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8474 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Elythyna","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412323","occ","","","39875","Isorthis (Tyersella) spedeni","genus","473067","rank change, species not entered","Tyersella","","genus","27035","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Rhynchonellata","Orthida","Dalmanellidae","Tyersella","","","","147.166672","-20.850000","","B76F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8473 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary, attached","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Tyersella","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412324","occ","","","39875","Aulacella philipi","genus","26678","species not entered","Aulacella","","genus","26678","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Rhynchonellata","Orthida","Rhipidomellidae","Aulacella","","","","147.166672","-20.850000","","B76F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8473 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary, attached","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Aulacella","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412325","occ","","","39875","Mesodouvillina (Protocymostrophia) cf. dickinsi","subgenus","315254","rank change, species not entered","Cymostrophia (Protocymostrophia)","","subgenus","27829","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Strophomenata","Strophomenida","Douvillinidae","Cymostrophia (Protocymostrophia)","","","","147.166672","-20.850000","","B76F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8473 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Cymostrophia (Protocymostrophia)","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
"412326","occ","","","39875","Mesoleptostrophia (Paraleptostrophia) clarkei","subgenus","124303","rank change, species not entered","Mesoleptostrophia (Paraleptostrophia)","","subgenus","27740","Early Emsian","","410.62","399.5","Brock and Talent 1993","1993","10815","Brachiopoda","Strophomenata","Strophomenida","Leptostrophiidae","Mesoleptostrophia (Paraleptostrophia)","","","","147.166672","-20.850000","","B76F, Mary Creek, Ukalunda Beds","","","AU","Queensland","","based on nearby landmark","minutes","","","outcrop","Near HID section, vicinity of Mary Creek, Hidden Valley, NE of Ukalunda (basis of coordinates).","gplates","801","early","124.48","-15.56","mid","125.57","-16.12","late","126.68","-16.66","scotese","801","early","167.70","-0.23","mid","168.02","-2.30","late","167.47","-4.16","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda Beds","","","group of beds","","","","","","","","","","","Age call based on conodont Polygnathus perbonus found from base and 111.6 m above base of section HID (which has collections going up to 144 m).\r\nJA: originally entered as Emsian; the perbonus zone is early Emsian","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine indet.","","Shallow marine","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","See PBDB coll. 8473 for corals.","Generally brachiopods only; one conodont also reported from one section.","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","","","","minor ribbing","Mesoleptostrophia (Paraleptostrophia)","Ukalunda Beds","","","Ukalunda Beds include siltstone, sandstone, limestone, and calcareous shale. Localities B220 and B610F occur in dark brown to khaki, highly jointed calcareous siltstone. Other Ukalunda spot localities not listed in detail. Douglas Creek siltstone (locality CL172) is grey to brown, well bedded, micaceous siltstone overlying the Douglas Creek limestones. ","siltstone","","","calcareous","","""limestone""","","","","","marine invertebrate"
